director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genre_1,genre_2,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,profit,return_on_investment
Wayne Wang,114,105,61,708,Frances Conroy,5000,93815117,Comedy,Romance,Bob Hoskins,Maid in Manhattan ,68417,7184,Natasha Richardson,2,hotel|maid|new york city|place name in title|the bronx,242,USA,PG-13,55000000,2002,827,5.1,0,38815117,70.57293999999999
Tony Scott,82,123,12000,665,Viggo Mortensen,18000,91400000,Action,Thriller,Denzel Washington,Crimson Tide ,81026,30132,Ricky Schroder,0,alabama|mutiny|order|radio|submarine,194,USA,R,53000000,1995,10000,7.3,0,38400000,72.45283018867924
Gabriele Muccino,201,117,125,168,Kurt Fuller,10000,162586036,Biography,NA,Will Smith,The Pursuit of Happyness ,338383,11036,James Karen,0,bus|intern|internship|salesman|stockbroker,611,USA,PG-13,55000000,2006,617,8,32000,107586036,195.61097454545455
Robert Schwentke,231,98,124,354,Michael Irby,931,89706988,Drama,Thriller,Erika Christensen,Flightplan ,126746,2287,Haley Ramm,1,captain|flight|flight attendant|plane|search,600,USA,PG-13,55000000,2005,507,6.2,0,34706988,63.10361454545455
Barry Levinson,55,128,272,383,Dylan Baker,2000,83000000,Drama,NA,Demi Moore,Disclosure ,36587,3888,Roma Maffia,0,computer|marriage|non statutory female on male rape|promotion|sexual harassment,95,USA,R,55000000,1994,812,6,0,28000000,50.90909090909091
Brad Silberling,110,114,52,539,Andre Braugher,12000,78745923,Drama,Romance,Nicolas Cage,City of Angels ,94407,13905,Colm Feore,1,angel|doctor|fall|heart surgeon|hospital,322,Others,PG-13,55000000,1998,702,6.7,0,23745923,43.17440545454546
Quentin Tarantino,354,111,16000,640,Vivica A. Fox,926,70098138,Action,NA,David Carradine,Kill Bill: Vol. 1 ,735784,3983,Chiaki Kuriyama,0,bride|coma|japan|revenge|sword,2105,USA,R,30000000,2003,890,8.1,13000,40098138,133.66046
Frank Oz,140,85,0,490,Adam Alexi-Malle,21000,66365290,Comedy,NA,Robert Downey Jr.,Bowfinger ,56874,22458,Jamie Kennedy,2,film within a film|filmmaking|guerrilla filmmaking|making of a movie|scientology parody,358,USA,PG-13,55000000,1999,860,6.4,0,11365290,20.664163636363636
Quentin Tarantino,304,137,16000,348,Michael Parks,890,66207920,Action,Drama,Vivica A. Fox,Kill Bill: Vol. 2 ,512749,1959,Michael Bowen,0,assassin|assassination|bride|death|vengeance,935,USA,R,30000000,2004,387,8,0,36207920,120.69306666666665
Andrey Konchalovskiy,45,97,96,403,Jack Palance,13000,63408614,Action,Crime,Sylvester Stallone,Tango & Cash ,75365,14432,Brion James,1,1980s|80s action|escape|plea bargain|prison,149,USA,R,55000000,1989,549,6.3,0,8408614,15.28838909090909
Robert Zemeckis,49,104,0,812,Meryl Streep,13000,58422650,Comedy,Horror,Bruce Willis,Death Becomes Her ,78974,25599,Isabella Rossellini,3,plastic surgeon|rejuvenation|revenge|rival|rivalry,173,USA,PG-13,55000000,1992,11000,6.4,8000,3422650,6.223
Tom Dey,146,110,9,95,Jason Connery,485,56932305,Action,Comedy,Xander Berkeley,Shanghai Noon ,96690,939,Kate Luyben,2,19th century|chinese|princess|rescue|travel,293,USA,PG-13,55000000,2000,110,6.6,0,1932305,3.5132818181818184
Stuart Baird,60,133,53,263,Joe Morton,1000,68750000,Action,Thriller,Oliver Platt,Executive Decision ,40858,2916,J.T. Walsh,0,bomb|hostage|military|plane|terrorist,144,USA,R,55000000,1996,780,6.4,0,13750000,25
Mark Waters,189,94,70,497,Ophelia Lovibond,1000,68218041,Comedy,Fantasy,Madeline Carroll,Mr. Popper's Penguins ,67191,2820,Philip Baker Hall,1,father|penguin|snowglobe|son|winter,108,USA,PG,55000000,2011,549,6,14000,13218041,24.032801818181817
Rob Minkoff,206,104,50,947,Thomas McDonell,5000,25040293,Action,Fantasy,Jet Li,The Forbidden Kingdom ,88049,7247,Michael Angarano,0,monkey king|staff|teenager|urination|warrior,279,USA,PG-13,55000000,2008,962,6.6,0,-29959707,-54.47219454545454
Jimmy Hayward,118,91,39,562,Carlos Ponce,1000,55747724,Adventure,Comedy,Amy Poehler,Free Birds ,18042,3104,Dan Fogler,1,chipmunk|hunting dog|sabotage|thanksgiving|turkey the bird,73,USA,PG,55000000,2013,591,5.9,0,747724,1.3594981818181817
David Fincher,210,145,21000,243,Holt McCallany,534,55473600,Action,Sci-Fi,Charles S. Dutton,Alien 3 ,207686,1543,Paul McGann,0,alien|crash|planet|prison|survivor,776,USA,R,50000000,1992,273,6.4,0,5473600,10.9472
Alan Parker,76,135,317,34,Jimmy Nail,57,49994804,Biography,History,Andrea Corr,Evita ,29205,164,Peter Polycarpou,1,actress|argentina|military|politics|singer,194,USA,PG,55000000,1996,40,6.3,0,-5005196,-9.100356363636363
John Frankenheimer,149,122,287,135,Natascha McElhone,22000,41609593,Action,Crime,Robert De Niro,Ronin ,145422,24270,Michael Lonsdale,2,case|ex kgb|ronin|russian|suitcase,572,Others,R,55000000,1998,2000,7.3,0,-13390407,-24.346194545454544
Stephen Hopkins,62,110,81,163,Bernard Hill,1000,38553833,Adventure,Horror,Tom Wilkinson,The Ghost and the Darkness ,46239,1752,Om Puri,0,bridge|engineer|hunter|lion|railway,155,USA,R,55000000,1996,416,6.8,0,-16446167,-29.902121818181822
Paul King,224,95,17,594,Matt Lucas,838,76137505,Animation,Family,Julie Walters,Paddington ,49207,3697,Sally Hawkins,0,bear|ear wax cleaning|fake newsreel|paddington station london|taxidermist,174,Others,PG,55000000,2014,722,7.2,30000,21137505,38.43182727272727
Akiva Schaffer,265,102,82,537,Nicholas Braun,622,34350553,Action,Sci-Fi,Will Forte,The Watch ,104066,2488,Rosemarie DeWitt,4,alien|escape|manager|neighborhood watch|ohio,207,USA,R,68000000,2012,591,5.7,15000,-33649447,-49.48448088235294
William Friedkin,135,94,607,215,Jenna Boyd,933,34238611,Action,Drama,Connie Nielsen,The Hunted ,35830,2248,Rex Linn,1,capture|combat|fbi|hunter|special forces,321,USA,R,55000000,2003,518,6,0,-20761389,-37.74798
Jon Turteltaub,100,126,226,241,Maura Tierney,12000,34098563,Drama,NA,Anthony Hopkins,Instinct ,27191,13406,John Ashton,1,africa|anthropologist|murder|poacher|psychiatrist,232,USA,R,55000000,1999,509,6.5,0,-20901437,-38.00261272727273
Bobby Farrelly,123,118,101,327,Terence Bernie Hines,13000,33828318,Comedy,NA,Matt Damon,Stuck on You ,44453,14036,Seymour Cassel,2,actor|conjoined twins|cook|internet|short order cook,154,USA,PG-13,55000000,2003,390,5.8,0,-21171682,-38.493967272727275
Kent Alterman,164,99,3,490,Maura Tierney,8000,33472850,Comedy,NA,Will Ferrell,Semi-Pro ,67005,10026,Matt Walsh,3,flint michigan|merger|michigan|nba|team,119,USA,R,55000000,2008,509,5.8,0,-21527150,-39.14027272727273
Peter Lord,238,88,91,591,Russell Tovey,4000,31051126,Adventure,Comedy,Salma Hayek,The Pirates! Band of Misfits ,36877,6254,Brian Blessed,0,charles darwin|cutlass|pirate|queen victoria|scientist,101,Others,PG,55000000,2012,796,6.7,0,-23948874,-43.54340727272727
Clint Eastwood,264,141,16000,539,Michael Kelly,11000,35707327,Crime,Mystery,Angelina Jolie Pitt,Changeling ,199056,12840,Colm Feore,0,execution by hanging|los angeles police department|miscarriage of justice|missing child|wrongful conviction,387,USA,R,55000000,2008,963,7.8,14000,-19292673,-35.07758727272727
Andrew Davis,47,107,99,581,Morgan Freeman,18000,20550712,Action,Sci-Fi,Keanu Reeves,Chain Reaction ,40346,31014,Kevin Dunn,1,cold fusion|die hard scenario|man with glasses|on the run|outrunning explosion,95,USA,PG-13,50000000,1996,11000,5.6,1000,-29449288,-58.898576000000006
Tony Scott,50,116,12000,552,Kurt Fuller,22000,18573791,Action,Sport,Robert De Niro,The Fan ,38533,24618,Ellen Barkin,3,baseball|fan|obsession|salesman|san francisco giants,89,USA,R,55000000,1996,617,5.8,0,-36426209,-66.2294709090909
Joel Schumacher,153,143,541,530,Minnie Driver,18000,51225796,Drama,Romance,Gerard Butler,The Phantom of the Opera ,96654,20660,Miranda Richardson,0,based on stage musical based on novel|disfigurement|mask|opera|singer,2047,Others,PG-13,70000000,2004,893,7.4,0,-18774204,-26.82029142857143
Shekhar Kapur,202,114,159,877,Abbie Cornish,13000,16264475,Biography,History,Eddie Redmayne,Elizabeth: The Golden Age ,54787,16899,Jordi Mollà,1,court|intrigue|queen|spain|virgin,216,Others,PG-13,55000000,2007,2000,6.9,0,-38735525,-70.42822727272727
Karyn Kusama,178,93,45,352,Sophie Okonedo,9000,25857987,Action,NA,Charlize Theron,Æon Flux ,110614,10185,Paterson Joseph,0,based on cult favorite|disease|female hero|female protagonist|future,532,USA,PG-13,62000000,2005,460,5.5,0,-36142013,-58.293569354838716
Ron Maxwell,84,280,33,67,Bruce Boxleitner,789,12870569,Drama,War,Billy Campbell,Gods and Generals ,13215,1671,John Castle,0,confederacy|hero|prequel|stonewall jackson|war hero,497,USA,PG-13,56000000,2003,640,6.3,953,-43129431,-77.01684107142857
Robert Butler,44,100,0,745,Lauren Holly,995,11466088,Action,NA,Hector Elizondo,Turbulence ,8983,3952,Jeffrey DeMunn,0,airplane|christmas|marshal|pilot|u.s. marshal,84,USA,R,71000000,1997,879,4.7,316,-59533912,-83.85058028169014
Karey Kirkpatrick,93,107,11,506,Ronny Cox,939,16088610,Comedy,Family,Stephen Root,Imagine That ,10417,3742,Richard Schiff,2,blanket|competition|family relationships|feather|sleepover,39,USA,PG,55000000,2009,605,5.6,610,-38911390,-70.74798181818181
James Bobin,277,119,33,518,Tina Fey,3000,51178893,Adventure,Crime,Ty Burrell,Muppets Most Wanted ,24285,6089,Hugh Bonneville,4,europe|frog|gulag|prison break|puppet,110,USA,PG,50000000,2014,2000,6.4,10000,1178893,2.357786
Jonathan Frakes,76,95,906,287,Philip Winchester,956,6768055,Action,Comedy,Sophia Myles,Thunderbirds ,11148,2260,Brady Corbet,0,astronaut|island|lady penelope|rescue|the hood,229,Others,PG,57000000,2004,579,4.2,437,-50231945,-88.12621929824562
Steve Antin,197,119,59,676,Peter Gallagher,2000,39440655,Drama,Musical,Eric Dane,Burlesque ,61680,4315,David Walton,1,burlesque|dancer|iowa|small town girl|stage,222,USA,PG-13,55000000,2010,828,6.4,19000,-15559345,-28.28971818181818
Jean-Pierre Jeunet,186,133,0,46,André Dussollier,226,6167817,Drama,Romance,Denis Lavant,A Very Long Engagement ,62607,405,Albert Dupontel,1,court martial|death|girl|no man's land|soldier,239,Others,R,47000000,2004,52,7.7,0,-40832183,-86.87698510638297
Guillermo del Toro,224,117,0,845,Thomas Kretschmann,12000,81645152,Action,Sci-Fi,Norman Reedus,Blade II ,158267,15371,Tony Curran,1,blade the character|cult film|mutation|vampire|warrior,559,USA,R,54000000,2002,919,6.7,0,27645152,51.19472592592592
Gabriele Muccino,202,123,125,835,Rosario Dawson,10000,69951824,Drama,NA,Will Smith,Seven Pounds ,232710,14727,Madison Pettis,1,boyfriend girlfriend relationship|heart|main character dies|organ donor|redemption,599,USA,PG-13,55000000,2008,3000,7.7,26000,14951824,27.18513454545455
Walter Hill,279,92,394,565,Jason Momoa,13000,9483821,Action,NA,Sylvester Stallone,Bullet to the Head ,39247,25418,Jon Seda,3,bar|bullet|corruption|detective|lawyer,131,USA,R,55000000,2012,11000,5.7,10000,-45516179,-82.75668909090909
Francis Ford Coppola,110,170,0,889,Joe Mantegna,14000,66676062,Crime,NA,Al Pacino,The Godfather: Part III ,267980,16949,Bridget Fonda,1,1970s|family relationships|mob hit|opera|repeating history,545,USA,R,54000000,1990,1000,7.6,0,12676062,23.47418888888889
Cameron Crowe,190,123,488,2000,Kirsten Dunst,5000,26838389,Comedy,Romance,Orlando Bloom,Elizabethtown ,58658,12700,Judy Greer,0,flight|flight attendant|kentucky|shoes|travel,495,USA,PG-13,57000000,2005,4000,6.4,0,-30161611,-52.91510701754386
Anthony Russo,136,110,94,240,Billy Gardell,277,75604320,Comedy,NA,Todd Stashwick,"You, Me and Dupree ",68417,847,Amanda Detmer,1,best friend|foot fetish|houseguest|newlywed|wedding,195,USA,PG-13,54000000,2006,245,5.6,0,21604320,40.007999999999996
Richard Lester,121,116,44,420,Ned Beatty,593,108200000,Action,Romance,Margot Kidder,Superman II ,76331,2908,Jackie Cooper,4,alien invasion|based on comic book|flying superhero|phantom zone|revenge,269,USA,PG,54000000,1980,467,6.8,0,54200000,100.37037037037038
Martin Brest,131,121,102,43,Lenny Venito,117,5660084,Comedy,Romance,Todd Giebenhain,Gigli ,41620,286,David Backus,0,gangster|hospital|lesbian|mob|thug,418,USA,R,54000000,2003,62,2.4,2000,-48339916,-89.51836296296295
Steven Zaillian,127,128,234,581,Anthony Hopkins,14000,7221458,Drama,NA,Kate Winslet,All the King's Men ,20740,27614,Kevin Dunn,0,governor|journalist|louisiana|mistress|politician,178,Others,PG-13,55000000,2006,12000,6.2,0,-47778542,-86.87007636363636
John Singleton,160,99,309,577,Vanessa Williams,23000,70327868,Action,Thriller,Christian Bale,Shaft ,58416,26527,Daniel von Bargen,0,blaxploitation|detective|drugs|shaft|trial,301,Others,R,46000000,2000,1000,5.9,0,24327868,52.88666956521739
Don Bluth,78,94,383,753,Kelsey Grammer,4000,58297830,Adventure,Drama,Kirsten Dunst,Anastasia ,86347,6017,Bernadette Peters,1,amnesia|reference to anastasia romanov|romanov|russia|russian revolution,191,USA,G,50000000,1997,808,7.1,0,8297830,16.595660000000002
Baz Luhrmann,209,127,1000,653,Kylie Minogue,1000,57386369,Drama,Romance,Jim Broadbent,Moulin Rouge! ,224013,2601,Richard Roxburgh,1,death of main character|eiffel tower paris|jealousy|tragedy|two suitors,2319,USA,PG-13,52500000,2001,691,7.6,10000,4886369,9.307369523809523
Harold Becker,98,89,17,303,Teri Polo,12000,45207112,Crime,Thriller,Steve Buscemi,Domestic Disturbance ,21283,13390,Matt O'Leary,1,amateur detective|boat builder|boy|stepfather|witness,190,USA,PG-13,53000000,2001,708,5.5,361,-7792888,-14.703562264150943
Scott Cooper,391,123,108,3000,Benedict Cumberbatch,40000,62563543,Biography,Drama,Johnny Depp,Black Mass ,115216,63769,Adam Scott,7,based on true story|boston massachusetts|fbi agent|gangster|true crime,289,USA,R,53000000,2015,19000,7,44000,9563543,18.04442075471698
Clint Eastwood,279,135,16000,310,Chris Bauer,23000,33574332,Drama,War,Paul Walker,Flags of Our Fathers ,101221,24468,Tom McCarthy,0,imperial japan|japan|japanese army|japanese soldier|world war two,415,USA,R,90000000,2006,638,7.1,0,-56425668,-62.69518666666667
F. Gary Gray,216,118,473,963,Leslie Bibb,18000,73343413,Crime,Thriller,Gerard Butler,Law Abiding Citizen ,217480,22517,Michael Kelly,0,attorney|deal|district attorney|investigation|justice,429,USA,R,50000000,2009,1000,7.4,21000,23343413,46.686825999999996
Robert Rodriguez,250,189,0,1000,Rosario Dawson,16000,25031037,Action,Thriller,Quentin Tarantino,Grindhouse ,155496,22186,Zoë Bell,0,anthropophagus|blood and gore|double feature|real twins playing twins|zombie,532,USA,R,53000000,2007,3000,7.6,0,-27968963,-52.7716283018868
Jonathan Demme,78,172,438,466,Kimberly Elise,852,22843047,Drama,Horror,Oprah Winfrey,Beloved ,6082,2397,Hill Harper,1,farm|freedom|ohio|slavery|spirit,207,USA,R,55000000,1998,637,5.9,853,-32156953,-58.46718727272727
Curtis Hanson,106,124,161,681,Robert Duvall,21000,5755286,Drama,Sport,Robert Downey Jr.,Lucky You ,18310,26334,Kelvin Han Yee,1,losing|poker|poker player|reference to frederic chopin|reference to johannes brahms,63,USA,PG-13,55000000,2007,3000,5.9,672,-49244714,-89.53584363636364
Steven Spielberg,194,141,14000,3000,Tom Hanks,29000,164435221,Biography,Drama,Leonardo DiCaprio,Catch Me If You Can ,525801,48153,Jennifer Garner,0,attorney|cat and mouse|fbi|pan am|pilot,667,USA,PG-13,52000000,2002,15000,8,15000,112435221,216.22157884615385
Kathryn Bigelow,558,157,0,304,Harold Perrineau,1000,95720716,Drama,Thriller,Jennifer Ehle,Zero Dark Thirty ,216032,2759,Parker Sawyers,0,al qaeda|cia|interrogation|lie|navy seal,640,USA,R,40000000,2012,1000,7.4,39000,55720716,139.30179
Peyton Reed,183,106,235,931,John Michael Higgins,4000,118683135,Comedy,Romance,Jon Favreau,The Break-Up ,102167,8315,Ann-Margret,1,art|break up|football video game|kitchen|talking to one's self in a mirror,483,USA,PG-13,52000000,2006,957,5.8,0,66683135,128.23679807692307
Phyllida Lloyd,238,108,58,838,Meryl Streep,14000,143704210,Comedy,Musical,Colin Firth,Mamma Mia! ,145974,26002,Julie Walters,1,bride|greece|island|mediterranean|wedding,611,USA,PG-13,52000000,2008,11000,6.3,10000,91704210,176.35425
Garry Marshall,186,125,0,11000,Taylor Lautner,14000,110476776,Comedy,NA,Bradley Cooper,Valentine's Day ,95437,45696,Anne Hathaway,12,flower|indian restaurant|tv station|valentine|valentine's day,211,USA,PG-13,52000000,2010,12000,5.7,9000,58476776,112.45533846153846
Jay Chandrasekhar,144,107,422,379,Jessica Simpson,631,80270227,Action,Comedy,Alice Greczyn,The Dukes of Hazzard ,66382,2297,Michael Weston,5,1969 dodge charger|bikini|farm|misogynist|tow truck,612,USA,PG-13,50000000,2005,534,5.1,0,30270227,60.540454
Terrence Malick,156,215,0,463,Miranda Otto,648,36385763,Drama,NA,Nick Stahl,The Thin Red Line ,138941,1937,Dash Mihok,0,battle|hill|jungle|multiple perspectives|tropical island,1448,USA,R,52000000,1998,568,7.6,0,-15614237,-30.027378846153844
David Dobkin,215,118,71,634,Olivia Wilde,16000,37035845,Comedy,NA,Ryan Reynolds,The Change-Up ,136680,28045,Mircea Monroe,2,best friend|fountain|law firm|lawyer|sex,149,USA,R,52000000,2011,10000,6.4,13000,-14964155,-28.777221153846156
Milos Forman,140,118,869,21,Gerry Becker,134,34580635,Biography,Drama,Matt Price,Man on the Moon ,100743,209,Tom Dreesen,1,andy kaufman|comedian|eccentric|wrestler|wrestling,549,Others,R,52000000,1999,27,7.4,0,-17419365,-33.49877884615385
Martin Scorsese,133,178,17000,574,Don Rickles,22000,42438300,Biography,Drama,Robert De Niro,Casino ,333542,24183,Kevin Pollak,2,car bomb|card cheat|cash|casino|gambling syndicate,533,USA,R,52000000,1995,721,8.2,11000,-9561700,-18.387884615384614
Pierre Morel,203,92,180,75,Amber Rose Revah,211,23324666,Action,NA,Kasia Smutniak,From Paris with Love ,97775,488,Rebecca Dayan,1,ambassador|cia|dinner|spy|terrorist,211,Others,R,52000000,2010,135,6.5,0,-28675334,-55.144873076923076
Paul Hunter,127,104,13,343,Mako,961,23020488,Action,Fantasy,Jaime King,Bulletproof Monk ,42324,2422,Victoria Smurfit,3,monastery|monk|scroll|tibetan|tibetan monk,180,USA,PG-13,52000000,2003,691,5.5,846,-28979512,-55.72983076923077
Bobby Farrelly,155,116,101,79,Tony Cox,889,90567722,Comedy,NA,Robert Forster,"Me, Myself & Irene ",185878,1711,Rob Moran,1,dissociative identity disorder|limousine|multiple personality|police|rhode island,481,USA,R,51000000,2000,624,6.5,0,39567722,77.58376862745098
Steve Oedekerk,98,90,176,523,Wanda Sykes,677,72601713,Animation,Family,Rob Paulsen,Barnyard ,21396,2055,Maurice LaMarche,1,cow|farmer|howl|howling at the moon|vegetarian,155,Others,PG,51000000,2006,560,5.6,605,21601713,42.356300000000005
Chris Weitz,299,130,129,12000,Kristen Stewart,21000,296623634,Adventure,Fantasy,Robert Pattinson,The Twilight Saga: New Moon ,220758,64040,Taylor Lautner,2,forks washington|protecting a woman|title same as book|vampire|werewolf,919,USA,PG-13,50000000,2009,17000,4.6,13000,246623634,493.247268
Andrew Adamson,212,90,80,21,Chris Miller,145,267652016,Adventure,Comedy,Kathleen Freeman,Shrek ,467113,275,Bobby Block,1,donkey|fairy tale|ogre|princess|swamp,945,USA,PG,60000000,2001,50,7.9,0,207652016,346.08669333333336
George Nolfi,413,106,53,593,Michael Kelly,13000,62453315,Romance,Thriller,Matt Damon,The Adjustment Bureau ,200035,14607,Jon Stewart,2,love at first sight|obscene finger gesture|rain|teleportation|three word title,407,USA,PG-13,50200000,2011,963,7.1,36000,12253315,24.40899402390438
Kevin Reynolds,67,155,58,720,Morgan Freeman,25000,165500000,Action,Drama,Alan Rickman,Robin Hood: Prince of Thieves ,145257,38518,Michael Wincott,0,balladeer|crusades|england|king|modern minstrel,322,USA,PG-13,48000000,1991,11000,6.9,0,117500000,244.79166666666666
Cameron Crowe,109,139,488,597,Kelly Preston,10000,153620822,Comedy,Romance,Tom Cruise,Jerry Maguire ,189923,12182,Bonnie Hunt,0,agent|career|client|fiance|sports agent,318,USA,R,50000000,1996,743,7.3,0,103620822,207.241644
Seth MacFarlane,457,112,3000,1000,Seth MacFarlane,15000,218628680,Comedy,NA,Mila Kunis,Ted ,471644,21773,Tom Skerritt,1,2010s|car accident|sex scene|teddy bear|testicle,623,USA,R,50000000,2012,3000,7,74000,168628680,337.25736
James L. Brooks,156,139,274,285,Yeardley Smith,625,147637474,Comedy,Romance,Lupe Ontiveros,As Good as It Gets ,224671,1474,Shirley Knight,0,dog|friendship|neighbor|unlikely friendship|writer,470,USA,PG-13,50000000,1997,440,7.7,11000,97637474,195.274948
Tom Shadyac,55,115,293,878,Philip Seymour Hoffman,49000,135014968,Biography,Drama,Robin Williams,Patch Adams ,80580,74382,Monica Potter,1,doctor|hospital|mental institution|nurse|student,375,USA,PG-13,50000000,1998,22000,6.7,0,85014968,170.029936
Adam McKay,272,143,285,7000,Will Ferrell,11000,2175312,Comedy,NA,Harrison Ford,Anchorman 2: The Legend Continues ,131227,28176,Steve Carell,2,fame|father son relationship|interracial kiss|interracial relationship|interracial sex,346,USA,PG-13,50000000,2013,8000,6.3,41000,-47824688,-95.649376
Steven Brill,117,96,65,828,Adam Sandler,12000,126203320,Comedy,NA,Steve Buscemi,Mr. Deeds ,110432,26826,Peter Gallagher,1,abbreviation in title|reporter|small town|sudden wealth|unknowing heir,309,USA,PG-13,50000000,2002,11000,5.8,0,76203320,152.40663999999998
J.J. Abrams,539,112,14000,417,AJ Michalka,1000,126975169,Mystery,Thriller,Joel Courtney,Super 8 ,287822,3388,Zach Mills,0,deputy|group of friends|time|train|train crash,849,USA,PG-13,50000000,2011,560,7.1,37000,76975169,153.950338
Steven Soderbergh,169,131,0,658,Albert Finney,8000,125548685,Biography,NA,Julia Roberts,Erin Brockovich ,135246,10003,Conchata Ferrell,0,contamination|corporate crime|environmental issue|female protagonist|working single mother,498,USA,R,52000000,2000,883,7.3,0,73548685,141.43977884615384
Donald Petrie,140,116,80,651,Adam Goldberg,11000,105807520,Comedy,NA,Matthew McConaughey,How to Lose a Guy in 10 Days ,156717,14087,Thomas Lennon,2,advertising executive|diamond|magazine|party|wager,357,USA,PG-13,50000000,2003,1000,6.4,0,55807520,111.61504
Phil Lord,330,112,97,584,Craig Roberts,17000,191616238,Action,Crime,Channing Tatum,22 Jump Street ,258186,19428,Amber Stevens West,2,college|drugs|hidden camera|tattoo|undercover,322,USA,R,50000000,2014,920,7.1,24000,141616238,283.232476
Neil Jordan,120,123,277,4000,Tom Cruise,11000,105264608,Drama,Horror,Brad Pitt,Interview with the Vampire: The Vampire Chronicles ,239752,25697,Kirsten Dunst,0,betrayal|dangerous friend|gothic|monster as victim|vampire,406,USA,R,60000000,1994,10000,7.6,11000,45264608,75.44101333333333
Peyton Reed,190,104,235,1000,Zooey Deschanel,14000,97680195,Comedy,NA,Bradley Cooper,Yes Man ,271691,29505,Danny Masterson,1,best friend|dvd|girlfriend|loan|self help,243,USA,PG-13,70000000,2008,11000,6.8,0,27680195,39.54313571428572
Rawson Marshall Thurber,177,107,43,569,Thomas Kretschmann,12000,126088877,Action,Crime,Dwayne Johnson,Central Intelligence ,33354,14569,Megan Park,2,accountant|blooper|espionage|facebook|high school reunion,110,USA,PG-13,50000000,2016,919,6.6,10000,76088877,152.177754
Chris Columbus,65,124,0,701,Liam Aiken,8000,91030827,Comedy,NA,Julia Roberts,Stepmom ,46482,9988,Herbert Russell,2,attorney|cancer|custody|fashion photographer|photographer,252,USA,PG-13,50000000,1998,818,6.7,0,41030827,82.06165399999999
Sean Anders,145,96,51,322,Linda Cardellini,8000,150315155,Comedy,NA,Will Ferrell,Daddy's Home ,54010,10886,Mark L. Young,2,biological father|dad|drinking|product placement|wilhelm scream,130,USA,PG-13,50000000,2015,2000,6.1,13000,100315155,200.63030999999998
Rob Marshall,321,125,252,10000,Meryl Streep,40000,127997349,Adventure,Drama,Johnny Depp,Into the Woods ,101178,62837,Anna Kendrick,1,based on stage musical|cinderella|little red riding hood|singing|witch,779,USA,PG,50000000,2014,11000,6,90000,77997349,155.994698
Spike Lee,230,129,0,277,James Ransone,18000,88504640,Crime,Mystery,Denzel Washington,Inside Man ,273108,19148,Peter Gerety,2,bank|detective|negotiation|police|robber,646,USA,R,45000000,2006,412,7.6,0,43504640,96.67697777777778
Brian Helgeland,143,90,241,416,Deborah Kara Unger,1000,81517441,Action,Drama,Bill Duke,Payback ,111368,3148,William Devane,1,anti hero|criminal|greed|prostitute|tough guy,394,USA,R,50000000,1999,495,7.1,0,31517441,63.034882
Frank Marshall,55,109,155,293,Joe Don Baker,426,81022333,Action,Mystery,Dylan Walsh,Congo ,34471,1761,Grant Heslov,0,captain|congo|expedition|laser|lost city,147,USA,PG-13,50000000,1995,387,5,0,31022333,62.04466600000001
Alex Proyas,279,121,295,329,Ben Mendelsohn,12000,79948113,Drama,Sci-Fi,Nicolas Cage,Knowing ,186879,13421,Chandler Canterbury,0,disaster|end of the world|number|student|time capsule,791,USA,PG-13,50000000,2009,748,6.2,0,29948113,59.896226
Tom Dey,143,95,9,11000,Matthew McConaughey,14000,88658172,Comedy,NA,Bradley Cooper,Failure to Launch ,58412,37967,Zooey Deschanel,2,friend|intervention|moving|secret|slacker,242,USA,PG-13,50000000,2006,11000,5.6,2000,38658172,77.316344
Glenn Ficarra,310,118,43,7000,Emma Stone,33000,84244877,Comedy,Romance,Ryan Gosling,"Crazy, Stupid, Love. ",375456,57426,Steve Carell,7,bar|divorce|friend|girl|male objectification,292,USA,PG-13,50000000,2011,15000,7.4,44000,34244877,68.489754
Peter Hewitt,116,80,12,58,Mark Christopher Lawrence,13000,75367693,Animation,Family,Bill Murray,Garfield ,58961,13430,Michael Monks,0,cat|dog|first part|lasagna|veterinarian,232,USA,PG,35000000,2004,258,5,795,40367693,115.33626571428573
Joe Roth,105,99,148,660,Cheech Marin,2000,73701902,Comedy,NA,Jamie Lee Curtis,Christmas with the Kranks ,27548,6729,Jake Busey,1,act of kindness|christmas|christmas eve|neighbor|vacation,209,USA,PG,60000000,2004,843,5.2,0,13701902,22.836503333333333
Bennett Miller,419,133,152,11000,Robin Wright,22000,75605492,Biography,Sport,Philip Seymour Hoffman,Moneyball ,283563,53094,Brad Pitt,1,baseball|meeting|statistics|strategy|voice over,312,USA,PG-13,50000000,2011,18000,7.6,27000,25605492,51.210984
Wolfgang Petersen,64,127,249,808,Morgan Freeman,18000,67823573,Action,Thriller,Kevin Spacey,Outbreak ,91176,30383,Rene Russo,3,disease|epidemic|monkey|quarantine|virus,130,USA,R,50000000,1995,11000,6.6,0,17823573,35.647146
Jaume Collet-Serra,359,106,174,660,Nate Parker,14000,91439400,Action,Thriller,Liam Neeson,Non-Stop ,200647,16967,Scoot McNairy,0,air marshal|death|passenger|terrorist|transatlantic flight,384,Others,PG-13,50000000,2014,664,7,24000,41439400,82.8788
